"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총인원","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지"
"3130000","3130000-101-1980-02279","1980-09-27","","01","영업/정상","01","영업","","","","","","32.99","121-875","서울특별시 마포구 용강동 43-7","서울특별시 마포구 토정로 303, 1,2층 (용강동)","04166","카나","2024-04-01 18:05:08","U","2023-12-04 00:03:00.0","일식","194878.328667979","448707.933393245","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-101-1980-07848","19801030","","01","영업/정상","01","영업","","","","","02 7129911","15.50","121813","서울특별시 마포구 도화동 343-2번지 ","서울특별시 마포구 도화길 22-3 (도화동)","04172","마미치킨","2015-10-02 13:14:06","I","2018-08-31 23:59:59.0","분식","195380.795677864    ","448668.055020435    ","분식","1","1","기타","지도","상수도전용","","","","","","","","","N","15.5","","",""
"3130000","3130000-101-1981-00519","19810624","","01","영업/정상","01","영업","","","","","02 7167868","66.84","121812","서울특별시 마포구 도화동 194-22번지 1층 ","서울특별시 마포구 도화길 50-6, 1층 (도화동)","04169","오목집마포점","2018-08-06 15:16:55","I","2018-08-31 23:59:59.0","한식","195615.223624958    ","448834.748857167    ","한식","0","0","아파트지역","지도","상수도전용","","","","","","","","","N","66.84","","",""
"3130000","3130000-101-1981-00733","19810907","","01","영업/정상","01","영업","","","","","02  711 5058","52.56","121875","서울특별시 마포구 용강동 45-16 ","서울특별시 마포구 토정로32길 3 (용강동, 1층)","04165","남도 사계절 맛집","2020-11-03 10:26:31","U","2020-11-05 02:40:00.0","한식","194783.042097876    ","448719.925621935    ","한식","1","1","기타","지도","상수도전용","","","","","","","","","N","52.56","","",""
"3130000","3130000-101-1981-02292","1981-07-13","","01","영업/정상","01","영업","","","","","7112623","58.66","121-872","서울특별시 마포구 염리동 148-13","서울특별시 마포구 백범로 133 (염리동, 1층)","04138","컴포즈커피 마포공덕점(Composecoffee 마포공덕점)","2023-04-25 20:35:33","U","2022-12-03 22:07:00.0","호프/통닭","195157.394124803","449340.213344844","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-101-1981-04321","19810826","","01","영업/정상","01","영업","","","","","02 7178475","40.29","121807","서울특별시 마포구 노고산동 107-97번지 ","서울특별시 마포구 백범로 14 (노고산동)","04100","노고산갈비","2017-07-21 15:37:13","I","2018-08-31 23:59:59.0","분식","194354.903522625    ","450125.722337557    ","분식","1","1","유흥업소밀집지역","지도","상수도전용","","","","","","","","","N","40.29","","",""
"3130000","3130000-101-1981-07418","19810424","","01","영업/정상","01","영업","","","","","02 3389630","58.72","121880","서울특별시 마포구 창전동 5-91번지 ","서울특별시 마포구 와우산로 148-1 (창전동, 1층)","04059","컬투치킨창전사랑점","2017-06-09 10:07:20","I","2018-08-31 23:59:59.0","중국식","193725.954636801    ","450219.391821572    ","중국식","2","1","기타","지도","상수도전용","","","","","","","","","N","58.72","","",""
"3130000","3130000-101-1981-07557","19811212","","01","영업/정상","01","영업","","","","","02 7169897","28.60","121812","서울특별시 마포구 도화동 179-1 ","서울특별시 마포구 도화길 35 (도화동)","04168","크레프트한스","2020-12-28 11:50:26","U","2020-12-30 02:40:00.0","한식","195471.083449276    ","448793.836786682    ","한식","1","2","기타","을","상수도전용","","","","","","","","","N","28.6","","",""
"3130000","3130000-101-1982-03377","19820712","","01","영업/정상","01","영업","","","","","02 7111800","52.08","121801","서울특별시 마포구 공덕동 105-77번지 ","서울특별시 마포구 마포대로14길 8 (공덕동)","04211","먹태에 꼬치다","2020-01-13 12:54:40","U","2020-01-15 02:40:00.0","한식","195985.022842729    ","449598.693533339    ","한식","1","2","학교정화(상대)","을","상수도전용","","","","","","","","","N","52.08","","",""
"3130000","3130000-101-1983-00520","19830809","","01","영업/정상","01","영업","","","","","02 7123082","25.90","121812","서울특별시 마포구 도화동 38-2 ","서울특별시 마포구 새창로 20 (도화동)","04169","최연탄","2021-07-21 11:08:17","U","2021-07-23 02:40:00.0","한식","195697.064118046    ","448851.341833469    ","한식","0","1","기타","지도","상수도전용","","","","","","","","","N","25.9","","",""
"3130000","3130000-101-1983-00928","1983-12-17","","01","영업/정상","01","영업","","","","","02 7166867","40.00","121-872","서울특별시 마포구 염리동 147-28","서울특별시 마포구 숭문길 18, 1층 (염리동)","04138","금화 갈매기","2024-08-28 10:09:29","U","2023-12-07 21:00:00.0","일식","195122.066652723","449441.957592418","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-101-1983-01145","19830205","","01","영업/정상","01","영업","","","","","0200000000","31.98","121130","서울특별시 마포구 구수동 56-6번지 ","서울특별시 마포구 창전로 54 (구수동)","04087","마포칼국수","2000-04-18 00:00:00","I","2018-08-31 23:59:59.0","한식","193982.704768211    ","449426.303062129    ","한식","0","1","기타","지도","상수도전용","","","","","","","","","N","31.98","","",""
"3130000","3130000-101-1983-01146","19831109","","01","영업/정상","01","영업","","","","","02 7166147","49.02","121854","서울특별시 마포구 신수동 86-3번지 1층동 ","서울특별시 마포구 백범로 48, 1층동 (신수동)","04109","용궁설렁탕","2015-05-13 10:37:24","I","2018-08-31 23:59:59.0","한식","194448.588763971    ","449788.806105538    ","한식","1","1","기타","지도","상수도전용","","","","","","","","","N","49.02","","",""
"3130000","3130000-101-1983-01804","19830823","","01","영업/정상","01","영업","","","","","02 3330166","165.00","121900","서울특별시 마포구 망원동 484-1번지 1층 ","서울특별시 마포구 월드컵로 105 (망원동,1층)","04011","청기와식당","2017-11-30 14:24:36","I","2018-08-31 23:59:59.0","한식","191797.727758421    ","450616.326369431    ","한식","1","2","주택가주변","지도","상수도전용","","","","","","","","","N","165","","",""
"3130000","3130000-101-1983-04236","19830517","","01","영업/정상","01","영업","","","","","02 7171922","56.18","121872","서울특별시 마포구 염리동 147-5번지 지상1층, 지하1층 ","서울특별시 마포구 숭문길 26 (염리동,지상1층, 지하1층)","04138","을밀대","2017-02-16 11:07:49","I","2018-08-31 23:59:59.0","한식","195117.528595745    ","449478.359003568    ","한식","0","1","주택가주변","지도","상수도전용","","","","","","","","","N","56.18","","",""
"3130000","3130000-101-1983-06912","19831115","","01","영업/정상","01","영업","","","","","02 7153380","78.61","121874","서울특별시 마포구 염리동 168-9 재화스퀘어 ","서울특별시 마포구 독막로 311, 재화스퀘어 지하1층 B104호 (염리동)","04156","황태뚝배기해장국","2022-01-13 09:54:57","U","2022-01-15 02:40:00.0","한식","195292.972627854    ","449083.060282147    ","한식","0","1","기타","지도","상수도전용","0","0","0","0","0","","0","0","Y","78.61","","",""
"3130000","3130000-101-1984-00589","19841109","","01","영업/정상","01","영업","","","","","02 7121444","52.01","121813","서울특별시 마포구 도화동 250-10번지 ","서울특별시 마포구 도화길 6-3, 1층 (도화동)","04173","솥밥삼겹살","2019-07-05 17:19:23","U","2019-07-07 02:40:00.0","한식","195243.760031319    ","448585.714989977    ","한식","1","2","기타","지도","상수도전용","","","","","","","","","N","52.01","","",""
"3130000","3130000-101-1984-00745","19840616","","01","영업/정상","01","영업","","","","","02 7166847","165.65","121875","서울특별시 마포구 용강동 39-1번지 우성연립 ","서울특별시 마포구 토정로37길 9, E동 8, 9호 (용강동, 우성연립)","04166","석양집","2019-10-18 10:14:42","U","2019-10-20 02:40:00.0","한식","195019.404792028    ","448669.376561383    ","한식","0","1","기타","지도","상수도전용","","","","","","","","","N","165.65","","",""
"3130000","3130000-101-1984-00929","19840412","","01","영업/정상","01","영업","","","","","02 7158326","26.48","121872","서울특별시 마포구 염리동 148-33번지 ","서울특별시 마포구 숭문길 6 (염리동, 1층)","04138","예산한우","2012-04-05 09:25:48","I","2018-08-31 23:59:59.0","한식","195121.543017139    ","449386.636139912    ","한식","2","2","주택가주변","지도","상수도전용","","","","","","","","","N","26.48","","",""
"3130000","3130000-101-1984-01397","19840110","","01","영업/정상","01","영업","","","","","02 3931399","28.66","121841","서울특별시 마포구 서교동 449-35번지 1층동 ","서울특별시 마포구 월드컵북로 41, 1층동 (서교동)","04000","마산집식당","2011-04-06 13:12:44","I","2018-08-31 23:59:59.0","한식","192693.347753542    ","450633.168213536    ","한식","0","2","기타","을","상수도전용","","","","","","","","","N","28.66","","",""
"3130000","3130000-101-1984-01894","19840104","","01","영업/정상","01","영업","","","","","02 3380644","50.40","121827","서울특별시 마포구 망원동 482-5번지 ","서울특별시 마포구 망원로11길 6 (망원동, 1층)","03963","푸짐한밥상","2016-02-17 09:50:36","I","2018-08-31 23:59:59.0","한식","191749.273691581    ","450670.049811904    ","한식","2","2","주택가주변","지도","상수도전용","","","","","","","","","N","50.4","","",""
"3130000","3130000-101-1984-01944","19841220","","01","영업/정상","01","영업","","","","","02  322 0885","35.60","121865","서울특별시 마포구 연남동 227-1번지 1층 ","서울특별시 마포구 연희로 35 (연남동,1층)","03982","코리아","2017-08-22 14:30:00","I","2018-08-31 23:59:59.0","한식","193478.255107747    ","451077.631724565    ","한식","1","1","기타","지도","상수도전용","","","","","","","","","N","35.6","","",""
"3130000","3130000-101-1984-02309","1984-01-25","","01","영업/정상","01","영업","","","","","02 7117545","20.31","121-854","서울특별시 마포구 신수동 39-2","서울특별시 마포구 독막로 240 (신수동)","04090","국빈","2024-01-18 15:28:48","U","2023-11-30 22:00:00.0","중국식","194635.445515705","449379.775375163","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-101-1984-02355","19840329","","01","영업/정상","01","영업","","","","","","43.10","121897","서울특별시 마포구 합정동 372-21번지 ","서울특별시 마포구 성지1길 6 (합정동, 1층)","04071","컬투치킨 합정사랑점","2014-05-02 10:36:25","I","2018-08-31 23:59:59.0","한식","192308.843937056    ","449551.560810664    ","한식","1","2","주택가주변","지도","상수도전용","","","","","","","","","N","43.1","","",""
"3130000","3130000-101-1984-03026","19840531","","01","영업/정상","01","영업","","","","","02 3346742","72.59","121838","서울특별시 마포구 서교동 358-32번지 1F동 ","서울특별시 마포구 와우산로21길 8, 1F동 (서교동)","04040","국시와가래떡","2007-12-04 12:57:38","I","2018-08-31 23:59:59.0","경양식","193170.577495578    ","450038.583460039    ","경양식","1","1","기타","지도","상수도전용","","","","","","","","","N","72.59","","",""
"3130000","3130000-101-1984-03766","19840531","","01","영업/정상","01","영업","","","","","02 3120276","85.80","121862","서울특별시 마포구 아현동 613-33 ","서울특별시 마포구 마포대로 207, 1,2층 (아현동)","04117","둘둘치킨애오개점","2021-07-02 17:01:47","U","2021-07-04 02:40:00.0","호프/통닭","196039.893758634    ","450041.304428857    ","호프/통닭","0","0","기타","기타","상수도전용","","","","","","","","","N","85.8","","",""
"3130000","3130000-101-1984-03976","19841026","","01","영업/정상","01","영업","","","","","","20.62","121813","서울특별시 마포구 도화동 343-2번지 1층 ","서울특별시 마포구 도화길 22 (도화동)","04172","장공당떡군","2018-04-10 11:55:48","I","2018-08-31 23:59:59.0","분식","195380.795677864    ","448668.055020435    ","분식","1","1","기타","지도","상수도전용","","","","","","","","","N","20.62","","",""
"3130000","3130000-101-1984-04121","19840125","","01","영업/정상","01","영업","","","","","02 7185898","51.92","121808","서울특별시 마포구 대흥동 12-19번지 ","서울특별시 마포구 신촌로 178-4 (대흥동)","04104","토담식당","2006-08-01 00:00:00","I","2018-08-31 23:59:59.0","한식","195101.034668764    ","450465.786603604    ","한식","0","3","기타","지도","상수도전용","","","","","","","","","N","51.92","","",""
"3130000","3130000-101-1984-04836","19840227","","01","영업/정상","01","영업","","","","","02 3380338","15.30","121899","서울특별시 마포구 동교동 186-7번지 ","서울특별시 마포구 신촌로12길 20 (동교동)","04057","투다리","2000-04-20 00:00:00","I","2018-08-31 23:59:59.0","분식","193969.315816016    ","450362.470910166    ","분식","0","1","기타","을","상수도전용","","","","","","","","","N","15.3","","",""
"3130000","3130000-101-1985-00199","19850304","","01","영업/정상","01","영업","","","","","02 3120368","20.50","121859","서울특별시 마포구 아현동 347-5번지 지층동 ","서울특별시 마포구 신촌로28가길 35, 지층동 (아현동)","04114","대풍","2000-11-29 00:00:00","I","2018-08-31 23:59:59.0","호프/통닭","195671.815414811    ","450493.936142763    ","호프/통닭","0","0","주택가주변","지도","상수도전용","","","","","","","","","N","20.5","","",""
"3130000","3130000-101-1985-00270","19850715","","01","영업/정상","01","영업","","","","","02 7170207","44.56","121801","서울특별시 마포구 공덕동 105-94","서울특별시 마포구 마포대로16길 8, 1층 (공덕동)","04207","수저가","2022-06-16 09:52:09","U","2021-12-05 23:08:00.0","중국식","196074.192872247","449834.58920757","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-101-1985-00574","1985-05-25","","01","영업/정상","01","영업","","","","","02 7181393","50.50","121-731","서울특별시 마포구 도화동 536-0 정우 지1-동 5호호","서울특별시 마포구 토정로37길 46, 지1-동 5호호 (도화동,정우)","04157","명동칼국수","2024-01-18 14:14:58","U","2023-11-30 22:00:00.0","한식","195277.885388974","448919.647035291","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-101-1985-00641","19850525","","01","영업/정상","01","영업","","","","","02 7193392","11.88","121815","서울특별시 마포구 도화동 536번지 ","서울특별시 마포구 토정로37길 46 (도화동, 정우상가 지하1층 25호)","04157","킹왕짱라볶이","2013-08-12 17:13:45","I","2018-08-31 23:59:59.0","분식","195277.885388974    ","448919.647035291    ","분식","1","1","기타","지도","상수도전용","","","","","","","","","N","11.88","","",""
"3130000","3130000-101-1985-00731","19850116","","01","영업/정상","01","영업","","","","","02 7198157","87.30","121875","서울특별시 마포구 용강동 26-2 ","서울특별시 마포구 토정로37길 21 (용강동)","04166","신강양꼬치","2020-12-07 10:05:10","U","2020-12-09 02:40:00.0","한식","195069.236190001    ","448780.373177197    ","한식","1","2","기타","지도","상수도전용","","","","","","","","","N","87.3","","",""
"3130000","3130000-101-1985-01580","19850129","","01","영업/정상","01","영업","","","","","02  334 7612","39.74","121898","서울특별시 마포구 동교동 158-9 ","서울특별시 마포구 동교로 182-3 (동교동, 1층)","03995","고등애","2020-11-02 09:19:49","U","2020-11-04 02:40:00.0","한식","193052.47877728     ","450502.768619361    ","한식","1","1","주택가주변","지도","상수도전용","","","","","","","","","N","39.74","","",""
"3130000","3130000-101-1985-01707","19850119","","01","영업/정상","01","영업","","","","","02 3235777","182.92","121885","서울특별시 마포구 합정동 383-26번지 ","서울특별시 마포구 월드컵로1길 17, 1층 (합정동)","04027","양화정","2018-06-08 13:52:42","I","2018-08-31 23:59:59.0","한식","192153.989360766    ","449685.512932348    ","한식","3","4","주택가주변","지도","상수도전용","","","","","","","","","N","182.92","","",""
"3130000","3130000-101-1985-01893","19851210","","01","영업/정상","01","영업","","","","","02 3330361","15.00","121826","서울특별시 마포구 망원동 476-1번지 ","서울특별시 마포구 방울내로 82 (망원동)","03964","일등식당","2018-12-05 09:31:50","U","2018-12-07 02:40:00.0","한식","191478.433809871    ","450923.324434377    ","한식","2","1","주택가주변","지도","상수도전용","","","","","","","","","N","15","","",""
"3130000","3130000-101-1985-02308","19850116","","01","영업/정상","01","영업","","","","","02 7110981","60.74","121130","서울특별시 마포구 구수동 76-1","서울특별시 마포구 토정로 196, 2층 (구수동)","04092","마포장","2022-04-12 10:17:01","U","2021-12-03 23:04:00.0","중국식","193976.187462882","449217.903063223","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-101-1985-02570","1985-12-27","","01","영업/정상","01","영업","","","","","","50.82","121-803","서울특별시 마포구 공덕동 256-13","서울특별시 마포구 만리재로 15 (공덕동, 제일빌딩 1층 1호,2호)","04214","생활맥주 공덕제일점","2024-03-20 09:04:02","U","2023-12-02 22:02:00.0","호프/통닭","195748.06444032","449145.578789461","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-101-1985-02670","1985-11-01","","01","영업/정상","01","영업","","","","","02 7073352","87.00","121-812","서울특별시 마포구 도화동 6-51","서울특별시 마포구 도화길 26 (도화동)","04172","크롬바커","2024-04-09 16:18:28","U","2023-12-03 23:02:00.0","경양식","195418.122655865","448691.024070107","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-101-1985-04299","1985-01-30","","01","영업/정상","01","영업","","","","","02 718 6382","81.20","121-806","서울특별시 마포구 노고산동 31-113","서울특별시 마포구 고산길 12 (노고산동)","04108","카스타운","2024-05-16 11:56:53","U","2023-12-04 23:08:00.0","기타","194444.911964177","450125.298323583","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-101-1985-05216","1985-09-21","","01","영업/정상","01","영업","","","","","02 3356187","61.91","121-865","서울특별시 마포구 연남동 228-1","서울특별시 마포구 성미산로 190 (연남동, 1층)","03982","뭉텅 연남점","2023-05-08 11:24:25","U","2022-12-04 23:00:00.0","중국식","193406.589451666","451183.710005225","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-101-1985-05463","1985-09-05","","01","영업/정상","01","영업","","","","","02  32751780","75.58","121-875","서울특별시 마포구 용강동 19-5","서울특별시 마포구 큰우물로 66 (용강동)","04166","신의주찹쌀순대","2024-02-22 09:58:37","U","2023-12-01 22:04:00.0","한식","195092.347481515","448805.416712296","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-101-1985-07763","1985-07-09","","01","영업/정상","01","영업","","","","","02  322 5121","83.17","121-898","서울특별시 마포구 동교동 161-17","서울특별시 마포구 월드컵북로2길 5 (동교동, 1층)","03995","하남돼지집 홍대입구역점","2023-11-06 12:00:52","U","2022-11-01 00:08:00.0","한식","192978.664964981","450408.426012923","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-101-1985-08174","19851008","","01","영업/정상","01","영업","","","","","02  336 5523","24.57","121819","서울특별시 마포구 동교동 206-1번지 ","서울특별시 마포구 월드컵북로 18 (동교동, 1층)","03992","부산집","2018-08-29 11:37:30","I","2018-08-31 23:59:59.0","한식","192889.106224174    ","450481.055247985    ","한식","2","2","결혼예식장주변","지도","상수도전용","","","","","","","","","N","24.57","","",""
"3130000","3130000-101-1986-00193","19860204","","01","영업/정상","01","영업","","","","","02 3628116","52.63","121859","서울특별시 마포구 아현동 347-5번지 1층 ","서울특별시 마포구 신촌로28가길 35 (아현동,1층)","04114","유황생오리","2004-01-03 00:00:00","I","2018-08-31 23:59:59.0","한식","195671.815414811    ","450493.936142763    ","한식","0","2","주택가주변","을","상수도전용","","","","","","","","","N","52.63","","",""
"3130000","3130000-101-1986-00728","19860321","","01","영업/정상","01","영업","","","","","0207164077","204.63","121875","서울특별시 마포구 용강동 51-1 ","서울특별시 마포구 토정로 314 (용강동)","04165","조이펍","2020-11-17 10:04:23","U","2020-11-19 02:40:00.0","한식","194941.987238665    ","448601.709932688    ","한식","1","2","기타","지도","상수도전용","","","","","","","","","N","204.63","","",""
"3130000","3130000-101-1986-01697","19860111","","01","영업/정상","01","영업","","","","","02 3265879","29.78","121886","서울특별시 마포구 합정동 393-7 ","서울특별시 마포구 월드컵로1길 48 (합정동, 1층)","04026","경성양꼬치","2020-08-26 13:36:53","U","2020-08-28 02:40:00.0","한식","192002.301539957    ","449664.742474042    ","한식","1","1","주택가주변","지도","상수도전용","","","","","","","","","N","29.78","","",""
"3130000","3130000-101-1986-01704","19861204","","01","영업/정상","01","영업","","","","","02 3930880","24.08","121885","서울특별시 마포구 합정동 383-3번지 ","서울특별시 마포구 월드컵로1길 5 (합정동)","04027","옹기골바베큐","2006-07-12 00:00:00","I","2018-08-31 23:59:59.0","한식","192212.846088377    ","449690.552677402    ","한식","0","2","주택가주변","지도","상수도전용","","","","","","","","","N","24.08","","",""
